FIPS,name,AVGhmid
19165,"Shelby County, IA",690
19167,"Sioux County, IA",958
19169,"Story County, IA",1435
19171,"Tama County, IA",610
19173,"Taylor County, IA",363
19175,"Union County, IA",613
19177,"Van Buren County, IA",527
19179,"Wapello County, IA",580
19181,"Warren County, IA",2057
19183,"Washington County, IA",1070
19185,"Wayne County, IA",396
19187,"Webster County, IA",635
19189,"Winnebago County, IA",487
19191,"Winneshiek County, IA",1093
19193,"Woodbury County, IA",807
19195,"Worth County, IA",530
19197,"Wright County, IA",439
20001,"Allen County, KS",341
20003,"Anderson County, KS",544
20005,"Atchison County, KS",616
