GEO_ID,NAME,VALUE
16035,"Clearwater County, Idaho",1059
16037,"Custer County, Idaho",583
16039,"Elmore County, Idaho",1206
16041,"Franklin County, Idaho",1253
16043,"Fremont County, Idaho",1122
16045,"Gem County, Idaho",1120
16047,"Gooding County, Idaho",855
16049,"Idaho County, Idaho",849
16051,"Jefferson County, Idaho",1272
16053,"Jerome County, Idaho",1163
16055,"Kootenai County, Idaho",1556
16057,"Latah County, Idaho",1821
16059,"Lemhi County, Idaho",925
16061,"Lewis County, Idaho",1002
16063,"Lincoln County, Idaho",883
16065,"Madison County, Idaho",1423
16067,"Minidoka County, Idaho",894
16069,"Nez Perce County, Idaho",1753
16071,"Oneida County, Idaho",1067
16073,"Owyhee County, Idaho",817
16075,"Payette County, Idaho",1136
16077,"Power County, Idaho",1301
16079,"Shoshone County, Idaho",1065
16081,"Teton County, Idaho",1692
16083,"Twin Falls County, Idaho",1351
16085,"Valley County, Idaho",1404
16087,"Washington County, Idaho",1124
17001,"Adams County, Illinois",2157
17003,"Alexander County, Illinois",689
17005,"Bond County, Illinois",2082
17007,"Boone County, Illinois",3930
17009,"Brown County, Illinois",1499
17011,"Bureau County, Illinois",2373
17013,"Calhoun County, Illinois",2132
17015,"Carroll County, Illinois",2029
17017,"Cass County, Illinois",1596
17019,"Champaign County, Illinois",3605
17021,"Christian County, Illinois",1685
17023,"Clark County, Illinois",1720
17025,"Clay County, Illinois",1445
17027,"Clinton County, Illinois",2912
17029,"Coles County, Illinois",2082
17031,"Cook County, Illinois",5168
17033,"Crawford County, Illinois",1372
17035,"Cumberland County, Illinois",1839
17037,"DeKalb County, Illinois",4999
17039,"De Witt County, Illinois",1874
17041,"Douglas County, Illinois",2214
17043,"DuPage County, Illinois",6783
17045,"Edgar County, Illinois",1398
17047,"Edwards County, Illinois",1177
17049,"Effingham County, Illinois",2302
17051,"Fayette County, Illinois",1453
17053,"Ford County, Illinois",2226
17055,"Franklin County, Illinois",1242
17057,"Fulton County, Illinois",1895
17059,"Gallatin County, Illinois",911
17061,"Greene County, Illinois",1333
17063,"Grundy County, Illinois",4182
17065,"Hamilton County, Illinois",1276
17067,"Hancock County, Illinois",1579
17069,"Hardin County, Illinois",713
17071,"Henderson County, Illinois",1426
17073,"Henry County, Illinois",2501
17075,"Iroquois County, Illinois",2180
17077,"Jackson County, Illinois",2197
17079,"Jasper County, Illinois",1588
17081,"Jefferson County, Illinois",1638
17083,"Jersey County, Illinois",2711
17085,"Jo Daviess County, Illinois",2923
17087,"Johnson County, Illinois",1620
17089,"Kane County, Illinois",6286
17091,"Kankakee County, Illinois",3495
17093,"Kendall County, Illinois",6749
17095,"Knox County, Illinois",1686
17097,"Lake County, Illinois",7587
17099,"LaSalle County, Illinois",2844
17101,"Lawrence County, Illinois",995
17103,"Lee County, Illinois",2550
17105,"Livingston County, Illinois",2601
17107,"Logan County, Illinois",1955
17109,"McDonough County, Illinois",1845
17111,"McHenry County, Illinois",6416
17113,"McLean County, Illinois",3899
17115,"Macon County, Illinois",2191
17117,"Macoupin County, Illinois",1667
17119,"Madison County, Illinois",2734
17121,"Marion County, Illinois",1471
17123,"Marshall County, Illinois",2438
17125,"Mason County, Illinois",1832
17127,"Massac County, Illinois",1360
17129,"Menard County, Illinois",2860
17131,"Mercer County, Illinois",2298
17133,"Monroe County, Illinois",3843
17135,"Montgomery County, Illinois",1486
17137,"Morgan County, Illinois",2152
17139,"Moultrie County, Illinois",2350
17141,"Ogle County, Illinois",3154
17143,"Peoria County, Illinois",3094
17145,"Perry County, Illinois",1510
17147,"Piatt County, Illinois",2497
17149,"Pike County, Illinois",1513
17151,"Pope County, Illinois",1229
17153,"Pulaski County, Illinois",599
17155,"Putnam County, Illinois",2126
17157,"Randolph County, Illinois",1604
17159,"Richland County, Illinois",1688
17161,"Rock Island County, Illinois",2718
17163,"St. Clair County, Illinois",2868
17165,"Saline County, Illinois",1202
17167,"Sangamon County, Illinois",2869
17169,"Schuyler County, Illinois",1672
17171,"Scott County, Illinois",1428
17173,"Shelby County, Illinois",1703
17175,"Stark County, Illinois",1660
17177,"Stephenson County, Illinois",2688
17179,"Tazewell County, Illinois",3066
17181,"Union County, Illinois",1651
17183,"Vermilion County, Illinois",1527
17185,"Wabash County, Illinois",1495
17187,"Warren County, Illinois",1641
17189,"Washington County, Illinois",2380
17191,"Wayne County, Illinois",1223
17193,"White County, Illinois",1014
17195,"Whiteside County, Illinois",2434
17197,"Will County, Illinois",6073
17199,"Williamson County, Illinois",1827
17201,"Winnebago County, Illinois",3544
17203,"Woodford County, Illinois",3753
18001,"Adams County, Indiana",976
18003,"Allen County, Indiana",1189
18005,"Bartholomew County, Indiana",1323
18007,"Benton County, Indiana",633
18009,"Blackford County, Indiana",662
18011,"Boone County, Indiana",2137
18013,"Brown County, Indiana",1045
18015,"Carroll County, Indiana",797
18017,"Cass County, Indiana",695
18019,"Clark County, Indiana",1210
18021,"Clay County, Indiana",472
18023,"Clinton County, Indiana",839
18025,"Crawford County, Indiana",776
18027,"Daviess County, Indiana",996
18029,"Dearborn County, Indiana",1400
18031,"Decatur County, Indiana",862
18033,"DeKalb County, Indiana",964
18035,"Delaware County, Indiana",863
18037,"Dubois County, Indiana",1194
18039,"Elkhart County, Indiana",1306
18041,"Fayette County, Indiana",663
18043,"Floyd County, Indiana",1359
18045,"Fountain County, Indiana",631
18047,"Franklin County, Indiana",1035
18049,"Fulton County, Indiana",597
18051,"Gibson County, Indiana",945
18053,"Grant County, Indiana",613
18055,"Greene County, Indiana",774
18057,"Hamilton County, Indiana",2562
18059,"Hancock County, Indiana",1516
18061,"Harrison County, Indiana",900
18063,"Hendricks County, Indiana",1828
18065,"Henry County, Indiana",813
18067,"Howard County, Indiana",791
18069,"Huntington County, Indiana",881
18071,"Jackson County, Indiana",765
18073,"Jasper County, Indiana",761
18075,"Jay County, Indiana",540
18077,"Jefferson County, Indiana",974
18079,"Jennings County, Indiana",858
18081,"Johnson County, Indiana",1445
18083,"Knox County, Indiana",758
18085,"Kosciusko County, Indiana",984
18087,"LaGrange County, Indiana",1096
18089,"Lake County, Indiana",1678
18091,"LaPorte County, Indiana",1203
18093,"Lawrence County, Indiana",854
18095,"Madison County, Indiana",907
18097,"Marion County, Indiana",1395
18099,"Marshall County, Indiana",978
18101,"Martin County, Indiana",657
18103,"Miami County, Indiana",463
18105,"Monroe County, Indiana",1387
18107,"Montgomery County, Indiana",557
18109,"Morgan County, Indiana",820
18111,"Newton County, Indiana",993
18113,"Noble County, Indiana",859
18115,"Ohio County, Indiana",871
18117,"Orange County, Indiana",596
18119,"Owen County, Indiana",897
18121,"Parke County, Indiana",451
18123,"Perry County, Indiana",822
18125,"Pike County, Indiana",794
18127,"Porter County, Indiana",1781
18129,"Posey County, Indiana",1019
18131,"Pulaski County, Indiana",450
18133,"Putnam County, Indiana",774
18135,"Randolph County, Indiana",669
18137,"Ripley County, Indiana",907
18139,"Rush County, Indiana",737
18141,"St. Joseph County, Indiana",1265
18143,"Scott County, Indiana",835
18145,"Shelby County, Indiana",1034
18147,"Spencer County, Indiana",784
18149,"Starke County, Indiana",780
18151,"Steuben County, Indiana",885
18153,"Sullivan County, Indiana",586
18155,"Switzerland County, Indiana",605
18157,"Tippecanoe County, Indiana",1143
18159,"Tipton County, Indiana",888
18161,"Union County, Indiana",907
18163,"Vanderburgh County, Indiana",1207
18165,"Vermillion County, Indiana",639
18167,"Vigo County, Indiana",974
18169,"Wabash County, Indiana",489
18171,"Warren County, Indiana",647
18173,"Warrick County, Indiana",1223
18175,"Washington County, Indiana",829
18177,"Wayne County, Indiana",909
18179,"Wells County, Indiana",668
18181,"White County, Indiana",684
18183,"Whitley County, Indiana",1128
19001,"Adair County, Iowa",1429
19003,"Adams County, Iowa",1229
